time,month_yr,location,cases,disease,lat,lon
1972.083333,Jan-72,ALABAMA,59,chickenpox,32.361538,-86.279118
1972.166667,Feb-72,ALABAMA,53,chickenpox,32.361538,-86.279118
1972.25,Mar-72,ALABAMA,93,chickenpox,32.361538,-86.279118
1972.333333,Apr-72,ALABAMA,111,chickenpox,32.361538,-86.279118
1972.416667,May-72,ALABAMA,67,chickenpox,32.361538,-86.279118
1972.5,Jun-72,ALABAMA,26,chickenpox,32.361538,-86.279118
1972.583333,Jul-72,ALABAMA,21,chickenpox,32.361538,-86.279118
1972.666667,Aug-72,ALABAMA,3,chickenpox,32.361538,-86.279118
1972.75,Sep-72,ALABAMA,5,chickenpox,32.361538,-86.279118
1972.833333,Oct-72,ALABAMA,5,chickenpox,32.361538,-86.279118
1972.916667,Nov-72,ALABAMA,25,chickenpox,32.361538,-86.279118
1973,Dec-72,ALABAMA,39,chickenpox,32.361538,-86.279118
1973.083333,Jan-73,ALABAMA,46,chickenpox,32.361538,-86.279118
1973.166667,Feb-73,ALABAMA,167,chickenpox,32.361538,-86.279118
1973.25,Mar-73,ALABAMA,153,chickenpox,32.361538,-86.279118
1973.333333,Apr-73,ALABAMA,268,chickenpox,32.361538,-86.279118
1973.416667,May-73,ALABAMA,140,chickenpox,32.361538,-86.279118
1973.5,Jun-73,ALABAMA,97,chickenpox,32.361538,-86.279118
1973.583333,Jul-73,ALABAMA,28,chickenpox,32.361538,-86.279118
1973.666667,Aug-73,ALABAMA,6,chickenpox,32.361538,-86.279118
1973.75,Sep-73,ALABAMA,1,chickenpox,32.361538,-86.279118
1973.833333,Oct-73,ALABAMA,12,chickenpox,32.361538,-86.279118
1973.916667,Nov-73,ALABAMA,6,chickenpox,32.361538,-86.279118
1974,Dec-73,ALABAMA,40,chickenpox,32.361538,-86.279118
1974.083333,Jan-74,ALABAMA,54,chickenpox,32.361538,-86.279118
1974.166667,Feb-74,ALABAMA,80,chickenpox,32.361538,-86.279118
1974.25,Mar-74,ALABAMA,87,chickenpox,32.361538,-86.279118
1974.333333,Apr-74,ALABAMA,31,chickenpox,32.361538,-86.279118
1974.416667,May-74,ALABAMA,65,chickenpox,32.361538,-86.279118
1974.5,Jun-74,ALABAMA,63,chickenpox,32.361538,-86.279118
