time,month_yr,location,cases,disease,lat,lon
1927.916667,Nov-27,ALABAMA,97,flu,32.361538,-86.279118
1928,Dec-27,ALABAMA,296,flu,32.361538,-86.279118
1928.083333,Jan-28,ALABAMA,1123,flu,32.361538,-86.279118
1928.166667,Feb-28,ALABAMA,942,flu,32.361538,-86.279118
1928.25,Mar-28,ALABAMA,944,flu,32.361538,-86.279118
1928.333333,Apr-28,ALABAMA,1145,flu,32.361538,-86.279118
1928.416667,May-28,ALABAMA,1179,flu,32.361538,-86.279118
1928.5,Jun-28,ALABAMA,370,flu,32.361538,-86.279118
1928.583333,Jul-28,ALABAMA,148,flu,32.361538,-86.279118
1928.666667,Aug-28,ALABAMA,188,flu,32.361538,-86.279118
1928.75,Sep-28,ALABAMA,189,flu,32.361538,-86.279118
1928.833333,Oct-28,ALABAMA,258,flu,32.361538,-86.279118
1928.916667,Nov-28,ALABAMA,582,flu,32.361538,-86.279118
1929,Dec-28,ALABAMA,8660,flu,32.361538,-86.279118
1929.083333,Jan-29,ALABAMA,57680,flu,32.361538,-86.279118
1929.166667,Feb-29,ALABAMA,9401,flu,32.361538,-86.279118
1929.25,Mar-29,ALABAMA,1122,flu,32.361538,-86.279118
1929.333333,Apr-29,ALABAMA,225,flu,32.361538,-86.279118
1929.416667,May-29,ALABAMA,133,flu,32.361538,-86.279118
1929.5,Jun-29,ALABAMA,67,flu,32.361538,-86.279118
1929.583333,Jul-29,ALABAMA,21,flu,32.361538,-86.279118
1929.666667,Aug-29,ALABAMA,22,flu,32.361538,-86.279118
1929.75,Sep-29,ALABAMA,19,flu,32.361538,-86.279118
1929.833333,Oct-29,ALABAMA,64,flu,32.361538,-86.279118
1929.916667,Nov-29,ALABAMA,219,flu,32.361538,-86.279118
1930,Dec-29,ALABAMA,437,flu,32.361538,-86.279118
1930.083333,Jan-30,ALABAMA,682,flu,32.361538,-86.279118
1930.166667,Feb-30,ALABAMA,732,flu,32.361538,-86.279118
1930.25,Mar-30,ALABAMA,674,flu,32.361538,-86.279118
1930.333333,Apr-30,ALABAMA,386,flu,32.361538,-86.279118
1930.416667,May-30,ALABAMA,171,flu,32.361538,-86.279118
1930.5,Jun-30,ALABAMA,82,flu,32.361538,-86.279118
