time,month_yr,location,cases,disease,lat,lon
1927.916667,27-Nov,ALABAMA,0,polio,32.361538,-86.279118
1928,27-Dec,ALABAMA,2,polio,32.361538,-86.279118
1928.083333,28-Jan,ALABAMA,1,polio,32.361538,-86.279118
1928.166667,28-Feb,ALABAMA,5,polio,32.361538,-86.279118
1928.25,28-Mar,ALABAMA,2,polio,32.361538,-86.279118
1928.333333,28-Apr,ALABAMA,4,polio,32.361538,-86.279118
1928.416667,28-May,ALABAMA,5,polio,32.361538,-86.279118
1928.5,28-Jun,ALABAMA,1,polio,32.361538,-86.279118
1928.583333,28-Jul,ALABAMA,6,polio,32.361538,-86.279118
1928.666667,28-Aug,ALABAMA,4,polio,32.361538,-86.279118
1928.75,28-Sep,ALABAMA,11,polio,32.361538,-86.279118
1928.833333,28-Oct,ALABAMA,15,polio,32.361538,-86.279118
1928.916667,28-Nov,ALABAMA,5,polio,32.361538,-86.279118
1929,28-Dec,ALABAMA,2,polio,32.361538,-86.279118
1929.083333,29-Jan,ALABAMA,0,polio,32.361538,-86.279118
1929.166667,Feb-29,ALABAMA,2,polio,32.361538,-86.279118
1929.25,29-Mar,ALABAMA,4,polio,32.361538,-86.279118
1929.333333,29-Apr,ALABAMA,3,polio,32.361538,-86.279118
1929.416667,29-May,ALABAMA,4,polio,32.361538,-86.279118
1929.5,29-Jun,ALABAMA,5,polio,32.361538,-86.279118
1929.583333,29-Jul,ALABAMA,8,polio,32.361538,-86.279118
1929.666667,29-Aug,ALABAMA,5,polio,32.361538,-86.279118
1929.75,29-Sep,ALABAMA,14,polio,32.361538,-86.279118
1929.833333,29-Oct,ALABAMA,7,polio,32.361538,-86.279118
1929.916667,29-Nov,ALABAMA,4,polio,32.361538,-86.279118
1930,29-Dec,ALABAMA,2,polio,32.361538,-86.279118
1930.083333,30-Jan,ALABAMA,2,polio,32.361538,-86.279118
1930.166667,Feb-30,ALABAMA,3,polio,32.361538,-86.279118
1930.25,30-Mar,ALABAMA,1,polio,32.361538,-86.279118
1930.333333,30-Apr,ALABAMA,0,polio,32.361538,-86.279118
1930.416667,30-May,ALABAMA,2,polio,32.361538,-86.279118
1930.5,30-Jun,ALABAMA,9,polio,32.361538,-86.279118
1930.583333,30-Jul,ALABAMA,7,polio,32.361538,-86.279118
1930.666667,30-Aug,ALABAMA,4,polio,32.361538,-86.279118
1930.75,30-Sep,ALABAMA,7,polio,32.361538,-86.279118
1930.833333,30-Oct,ALABAMA,10,polio,32.361538,-86.279118
1930.916667,30-Nov,ALABAMA,16,polio,32.361538,-86.279118
1931,30-Dec,ALABAMA,4,polio,32.361538,-86.279118
1931.083333,31-Jan,ALABAMA,4,polio,32.361538,-86.279118
1931.166667,Feb-31,ALABAMA,3,polio,32.361538,-86.279118
1931.25,31-Mar,ALABAMA,2,polio,32.361538,-86.279118
1931.333333,Apr-31,ALABAMA,0,polio,32.361538,-86.279118
1931.416667,31-May,ALABAMA,6,polio,32.361538,-86.279118
1931.5,Jun-31,ALABAMA,4,polio,32.361538,-86.279118
1931.583333,31-Jul,ALABAMA,6,polio,32.361538,-86.279118
1931.666667,31-Aug,ALABAMA,5,polio,32.361538,-86.279118
1931.75,Sep-31,ALABAMA,9,polio,32.361538,-86.279118
1931.833333,31-Oct,ALABAMA,1,polio,32.361538,-86.279118
1931.916667,Nov-31,ALABAMA,4,polio,32.361538,-86.279118
1932,31-Dec,ALABAMA,11,polio,32.361538,-86.279118
1932.083333,Jan-32,ALABAMA,4,polio,32.361538,-86.279118
1932.166667,Feb-32,ALABAMA,4,polio,32.361538,-86.279118
1932.25,Mar-32,ALABAMA,0,polio,32.361538,-86.279118
1932.333333,Apr-32,ALABAMA,2,polio,32.361538,-86.279118
1932.416667,May-32,ALABAMA,1,polio,32.361538,-86.279118
1932.5,Jun-32,ALABAMA,0,polio,32.361538,-86.279118
1932.583333,Jul-32,ALABAMA,3,polio,32.361538,-86.279118
